english,bangla,pronunciation,part_of_speech,example,search_rank
apple,আপেল,ap-uhl,noun,I ate an apple,1
ability,ক্ষমতা,uh-bil-i-tee,noun,She has great ability,2
able,সক্ষম,ay-buhl,adjective,He is able to swim,3
about,সম্পর্কে,uh-bout,preposition,Tell me about it,4
above,উপরে,uh-buv,preposition,The fan is above us,5
accept,গ্রহণ করা,ak-sept,verb,Please accept the gift,6
account,হিসাব,uh-kownt,noun,I opened a bank account,7
across,এপার থেকে ওপার,juh-kraws,preposition,They walked across the road,8
act,কাজ করা,akt,verb,Actors act on stage,9
action,কর্ম,ak-shuhn,noun,Action is better than words,10
activity,কার্যকলাপ,ak-tiv-i-tee,noun,This activity is fun,11
add,যোগ করা,ad,verb,Add some sugar,12
address,ঠিকানা,uh-dres,noun,Write your address here,13
admit,স্বীকার করা,ad-mit,verb,He admitted his mistake,14
adult,প্রাপ্তবয়স্ক,uh-duhlt,noun,Every adult must register,15
advice,পরামর্শ,ad-vys,noun,She gave me good advice,16
after,পরে,af-ter,preposition,Come after lunch,17
again,আবার,uh-gen,adverb,Try again,18
age,বয়স,ayj,noun,What is your age,19
ago,আগে,uh-go,adverb,He left a week ago,20
agree,একমত হওয়া,uh-gree,verb,I agree with you,21
air,বায়ু,air,noun,Fresh air is important,22
all,সব,awl,determiner,All students are present,23
allow,অনুমতি দেওয়া,uh-low,verb,They allow entry,24
almost,প্রায়,awl-mohst,adverb,It is almost ready,25
alone,একা,uh-lohn,adjective,She lives alone,26
along,সাথে সাথে,uh-long,preposition,Come along with us,27
already,ইতিমধ্যে,awl-red-ee,adverb,I already finished it,28
also,এছাড়াও,awl-soh,adverb,She also sings well,29
always,সবসময়,awl-wayz,adverb,He always smiles,30
amazing,অসাধারণ,uh-may-zing,adjective,That was amazing,31
amount,পরিমাণ,uh-mownt,noun,The amount is small,32
animal,প্রাণী,an-uh-muhl,noun,The tiger is an animal,33
answer,উত্তর,an-ser,noun,I know the answer,34
any,যে কোন,en-ee,determiner,Do you have any question,35
appear,প্রকাশ পাওয়া,uh-peer,verb,Stars appear at night,36
apply,আবেদন করা,uh-ply,verb,Apply for the job,37
area,এলাকা,air-ee-uh,noun,This area is quiet,38
arm,বাহু,arm,noun,My arm hurts,39
around,চারপাশে,uh-round,preposition,They sat around the table,40
arrive,পৌঁছানো,uh-ryv,verb,We arrived early,41
art,শিল্প,art,noun,Art inspires people,42
ask,জিজ্ঞাসা করা,ask,verb,Ask your teacher,43
attack,আক্রমণ,uh-tak,noun,The attack was sudden,44
attention,মনোযোগ,uh-ten-shuhn,noun,Pay attention in class,45
author,লেখক,aw-ther,noun,The author wrote a novel,46
available,উপলব্ধ,uh-vay-luh-buhl,adjective,Seats are available,47
avoid,এড়ানো,uh-voyd,verb,Avoid bad habits,48
away,দূরে,uh-way,adverb,He walked away,49
baby,শিশু,bay-bee,noun,The baby is sleeping,50
back,পিছনে,bak,noun,My back feels sore,51
bad,খারাপ,bad,adjective,That is a bad idea,52
bag,ব্যাগ,bag,noun,My bag is heavy,53
ball,বল,bawl,noun,The ball is red,54
bank,ব্যাংক,bangk,noun,I went to the bank,55
base,ভিত্তি,bays,noun,Trust is the base of friendship,56
basic,মৌলিক,bay-sik,adjective,Learn the basic rules,57
beautiful,সুন্দর,byoo-ti-ful,adjective,The garden is beautiful,58
because,কারণ,bee-kawz,conjunction,I stayed home because it rained,59
become,হয়ে ওঠা,bee-kuhm,verb,She wants to become a doctor,60
before,আগে,bee-for,preposition,Wash your hands before eating,61
begin,শুরু করা,bee-gin,verb,Let us begin now,62
behind,পিছনে,bee-hynd,preposition,The car is behind the bus,63
believe,বিশ্বাস করা,bee-leev,verb,I believe in hard work,64
below,নিচে,bee-loh,preposition,See the notes below,65
best,সেরা,best,adjective,This is the best option,66
better,আরও ভালো,bet-er,adjective,Today feels better,67
between,মধ্যে,bee-tween,preposition,The shop is between two houses,68
big,বড়,big,adjective,They live in a big house,69
bird,পাখি,burd,noun,A bird is flying,70
black,কালো,blak,adjective,She wore a black dress,71
blood,রক্ত,bluhd,noun,Blood carries oxygen,72
blue,নীল,bloo,adjective,The sky is blue,73
book,বই,book,noun,This book is useful,74
born,জন্মগ্রহণ করা,born,verb,He was born in Dhaka,75
both,উভয়,bohth,determiner,Both answers are correct,76
box,বাক্স,boks,noun,Put it in the box,77
boy,ছেলে,boy,noun,The boy is laughing,78
break,ভাঙা,brayk,verb,Do not break the glass,79
bring,আনা,bring,verb,Bring your notebook,80
brother,ভাই,bruhth-er,noun,My brother is kind,81
build,নির্মাণ করা,bild,verb,They will build a bridge,82
business,ব্যবসা,biz-nis,noun,He runs a business,83
busy,ব্যস্ত,biz-ee,adjective,I am busy today,84
call,ডাকা,kawl,verb,Call me tonight,85
camera,ক্যামেরা,kam-er-uh,noun,This camera is new,86
care,যত্ন,kair,noun,Take care of your health,87
carry,বহন করা,kar-ee,verb,Can you carry this bag,88
case,মামলা,kays,noun,This is a special case,89
catch,ধরা,kach,verb,Try to catch the ball,90
cause,কারণ,kawz,noun,What is the cause,91
center,কেন্দ্র,sen-ter,noun,Meet me at the center,92
chance,সুযোগ,chans,noun,Give me a chance,93
change,পরিবর্তন,chainj,noun,Change is necessary,94
check,পরীক্ষা করা,chek,verb,Check the answer,95
child,শিশু,chyld,noun,Every child deserves care,96
choose,বেছে নেওয়া,chooz,verb,Choose your favorite color,97
city,শহর,sit-ee,noun,Dhaka is a big city,98
class,শ্রেণি,klas,noun,Our class starts at ten,99
clean,পরিষ্কার,kleen,adjective,The room is clean,100
